Source;Target;Type
53;60;Directed
53;62;Directed
53;20;Directed
53;64;Directed
53;21;Directed
53;26;Directed
53;28;Directed
53;68;Directed
53;82;Directed
34;31;Directed
34;37;Directed
34;47;Directed
34;2;Directed
34;48;Directed
34;3;Directed
34;49;Directed
34;5;Directed
34;33;Directed
34;72;Directed
34;9;Directed
34;3;Directed
34;9;Directed
34;54;Directed
34;55;Directed
34;10;Directed
34;43;Directed
34;91;Directed
34;96;Directed
34;97;Directed
34;58;Directed
34;35;Directed
34;12;Directed
34;94;Directed
34;15;Directed
34;74;Directed
34;83;Directed
34;18;Directed
34;19;Directed
34;62;Directed
34;20;Directed
34;80;Directed
34;65;Directed
34;23;Directed
34;95;Directed
34;68;Directed
54;0;Directed
54;46;Directed
54;2;Directed
54;49;Directed
54;50;Directed
54;39;Directed
54;8;Directed
54;53;Directed
54;34;Directed
54;0;Directed
54;2;Directed
54;39;Directed
54;55;Directed
54;10;Directed
54;43;Directed
54;57;Directed
54;58;Directed
54;12;Directed
54;59;Directed
54;14;Directed
54;74;Directed
54;17;Directed
54;18;Directed
54;61;Directed
54;62;Directed
54;20;Directed
54;64;Directed
54;65;Directed
54;21;Directed
54;23;Directed
54;81;Directed
54;28;Directed
54;68;Directed
55;0;Directed
55;37;Directed
55;46;Directed
55;1;Directed
55;47;Directed
55;2;Directed
55;48;Directed
55;3;Directed
55;49;Directed
55;5;Directed
55;50;Directed
55;33;Directed
55;6;Directed
55;39;Directed
55;72;Directed
55;51;Directed
55;7;Directed
55;52;Directed
55;8;Directed
55;9;Directed
55;53;Directed
55;34;Directed
55;54;Directed
55;0;Directed
55;37;Directed
55;2;Directed
55;48;Directed
55;3;Directed
55;39;Directed
55;72;Directed
55;51;Directed
55;7;Directed
55;8;Directed
55;9;Directed
55;10;Directed
55;56;Directed
55;73;Directed
55;43;Directed
55;57;Directed
55;91;Directed
55;96;Directed
55;58;Directed
55;12;Directed
55;13;Directed
55;59;Directed
55;14;Directed
55;74;Directed
55;16;Directed
55;83;Directed
55;17;Directed
55;18;Directed
55;19;Directed
55;60;Directed
55;61;Directed
55;62;Directed
55;98;Directed
55;77;Directed
55;20;Directed
55;40;Directed
55;63;Directed
55;80;Directed
55;64;Directed
55;65;Directed
55;21;Directed
55;66;Directed
55;67;Directed
55;22;Directed
55;23;Directed
55;81;Directed
55;36;Directed
55;26;Directed
55;41;Directed
55;28;Directed
55;68;Directed
55;69;Directed
55;82;Directed
10;0;Directed
10;2;Directed
10;49;Directed
10;33;Directed
10;13;Directed
10;14;Directed
10;16;Directed
10;20;Directed
10;21;Directed
10;81;Directed
56;37;Directed
56;46;Directed
56;47;Directed
56;38;Directed
56;6;Directed
56;72;Directed
56;34;Directed
56;55;Directed
56;10;Directed
56;37;Directed
56;38;Directed
56;72;Directed
56;34;Directed
56;10;Directed
56;73;Directed
56;58;Directed
56;59;Directed
56;94;Directed
56;15;Directed
56;16;Directed
56;17;Directed
56;61;Directed
56;40;Directed
56;63;Directed
56;64;Directed
56;65;Directed
56;21;Directed
56;67;Directed
56;36;Directed
56;28;Directed
56;68;Directed
56;82;Directed
56;30;Directed
73;42;Directed
73;1;Directed
73;2;Directed
73;3;Directed
73;39;Directed
73;10;Directed
73;42;Directed
73;3;Directed
73;39;Directed
73;10;Directed
73;11;Directed
73;13;Directed
73;16;Directed
73;40;Directed
73;78;Directed
73;23;Directed
73;30;Directed
43;70;Directed
43;2;Directed
43;48;Directed
43;49;Directed
43;5;Directed
43;33;Directed
43;72;Directed
43;53;Directed
43;34;Directed
43;54;Directed
43;10;Directed
43;70;Directed
43;10;Directed
43;11;Directed
43;91;Directed
43;35;Directed
43;12;Directed
43;94;Directed
43;14;Directed
43;74;Directed
43;83;Directed
43;17;Directed
43;19;Directed
43;60;Directed
43;61;Directed
43;62;Directed
43;20;Directed
43;80;Directed
43;78;Directed
43;21;Directed
43;36;Directed
43;95;Directed
43;68;Directed
43;30;Directed
84;71;Directed
84;79;Directed
84;85;Directed
84;18;Directed
84;87;Directed
84;88;Directed
84;89;Directed
84;28;Directed
11;1;Directed
11;2;Directed
11;3;Directed
11;7;Directed
11;10;Directed
11;43;Directed
11;3;Directed
11;10;Directed
11;14;Directed
11;18;Directed
11;67;Directed
11;36;Directed
11;27;Directed
11;41;Directed
11;28;Directed
44;37;Directed
44;46;Directed
44;39;Directed
44;9;Directed
44;11;Directed
44;37;Directed
44;11;Directed
44;59;Directed
44;15;Directed
44;16;Directed
44;45;Directed
44;40;Directed
44;65;Directed
44;67;Directed
44;23;Directed
44;41;Directed
57;46;Directed
57;47;Directed
57;49;Directed
57;50;Directed
57;33;Directed
57;54;Directed
57;10;Directed
57;10;Directed
57;91;Directed
57;58;Directed
57;12;Directed
57;59;Directed
57;83;Directed
57;17;Directed
57;18;Directed
57;61;Directed
57;62;Directed
57;20;Directed
57;78;Directed
57;65;Directed
57;21;Directed
57;41;Directed
57;68;Directed
91;33;Directed
91;7;Directed
91;34;Directed
91;43;Directed
91;94;Directed
91;18;Directed
91;19;Directed
91;62;Directed
91;20;Directed
91;80;Directed
91;23;Directed
91;28;Directed
91;68;Directed
96;46;Directed
96;47;Directed
96;32;Directed
96;2;Directed
96;48;Directed
96;49;Directed
96;50;Directed
96;33;Directed
96;6;Directed
96;51;Directed
96;7;Directed
96;52;Directed
96;53;Directed
96;34;Directed
96;54;Directed
96;55;Directed
96;10;Directed
96;56;Directed
96;43;Directed
96;57;Directed
96;46;Directed
96;47;Directed
96;32;Directed
96;2;Directed
96;48;Directed
96;49;Directed
96;50;Directed
96;6;Directed
96;52;Directed
96;54;Directed
96;10;Directed
96;56;Directed
96;43;Directed
96;57;Directed
96;58;Directed
96;35;Directed
96;12;Directed
96;13;Directed
96;59;Directed
